ID,Name
1,Lahore
2,Islamabad
3,Karachi
4,Peshawar
5,Quetta
6,Multan
7,Faisalabad
8,Rawalpindi
9,Gujranwala
10,Sialkot
11,Sargodha
12,Bahawalpur
13,Sukkur
14,Larkana
15,Sheikhupura
16,Rahim Yar Khan
17,Gujrat
18,Kasur
19,Mardan
20,Sahiwal
21,Nawabshah
22,Chiniot
23,Kotri
24,Khanpur
25,Hafizabad
26,Hyderabad
27,Mirpur Khas
28,Jacobabad
29,Dadu
30,Shikarpur
31,Khuzdar
32,Turbat
33,Gwadar
34,Zhob
35,Dera Ismail Khan
36,Bannu
37,Kohat
38,Abbottabad
39,Mansehra
40,Muzaffarabad
41,Shorkot
42,KSK
