SourceID,DestID,Distance
1,2,266
1,6,337
1,7,184
1,8,280
1,9,110
1,10,125
1,15,40
1,18,55
1,20,180
2,4,185
2,8,15
2,19,65
2,38,120
2,39,150
3,6,966
3,13,470
3,14,430
3,21,280
3,23,450
3,26,163
3,27,220
5,6,622
5,13,680
5,24,420
5,31,350
5,34,280
6,7,243
6,11,120
6,12,350
6,16,280
7,9,50
7,11,150
7,17,80
7,20,120
8,2,15
8,4,170
8,19,50
8,37,95
9,7,50
9,10,60
9,25,45
10,9,60
10,25,50
11,6,120
11,7,150
12,6,350
12,16,180
13,3,470
13,21,200
13,28,180
13,29,120
14,3,430
14,29,95
14,30,75
15,1,40
16,12,180
16,6,280
17,7,80
18,1,55
19,2,65
19,4,120
20,7,120
20,1,180
21,3,280
21,13,200
23,3,450
24,5,420
25,9,45
25,10,50
26,3,163
26,27,60
27,3,220
28,5,380
28,13,180
29,13,120
29,14,95
30,14,75
31,5,350
32,33,65
33,31,420
34,5,280
34,35,180
35,4,250
35,36,85
36,4,95
36,37,60
37,4,75
37,8,95
38,2,120
38,39,35
39,2,150
39,40,80
40,39,80
41,6,160
41,1,350
